description,img,title,url,series,price,autor,pub_house
,http://img1.labirint.ru/books/265681/big.jpg,Бесы,http://www.labirint.ru/books/265681,,378,Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/421170/big.jpg,Идиот,http://www.labirint.ru/books/421170,,346,Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/421170/big.jpg,Идиот,http://www.labirint.ru/books/421170,,346,Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/466842/big.jpg,Собрание повестей и рассказов в 1 томе,http://www.labirint.ru/books/466842,,569,Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/417638/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/417638,,346,Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/402213/big.jpg,Бесы,http://www.labirint.ru/books/402213,,129,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/417638/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/417638,,346,Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/402213/big.jpg,Бесы,http://www.labirint.ru/books/402213,,129,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/405945/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/405945,,633,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/366901/big.jpg,Преступление и наказание,http://www.labirint.ru/books/366901,,117,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/405945/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/405945,,633,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/415481/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/415481,,115,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/366901/big.jpg,Преступление и наказание,http://www.labirint.ru/books/366901,,117,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/366901/big.jpg,Преступление и наказание Братья Карамазовы,http://www.labirint.ru/books/366901,,"117,115",Достоевский Федор Михайлович Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/362496/big.jpg,Идиот,http://www.labirint.ru/books/362496,,115,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/362496/big.jpg,Идиот,http://www.labirint.ru/books/362496,,115,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/361442/big.jpg,Рождественское чудо. Рассказы русских писателей,http://www.labirint.ru/books/361442,,648,Лесков Николай Семенович,ОлмаМедиаГрупп
,http://img1.labirint.ru/books/411654/big.jpg,Рождественские рассказы русских писателей,http://www.labirint.ru/books/411654,,230,Достоевский Федор Михайлович,Никея
,http://img1.labirint.ru/books/361442/big.jpg,Рождественское чудо. Рассказы русских писателей,http://www.labirint.ru/books/361442,,648,Лесков Николай Семенович,ОлмаМедиаГрупп
,http://img1.labirint.ru/books/451517/big.jpg,Федор Михайлович Достоевский,http://www.labirint.ru/books/451517,,343,Достоевский Федор Михайлович,Звонница-МГ
,http://img1.labirint.ru/books/451517/big.jpg,Федор Михайлович Достоевский,http://www.labirint.ru/books/451517,,343,Достоевский Федор Михайлович,Звонница-МГ
,http://img1.labirint.ru/books/247131/big.jpg,Золотые цитаты классиков литературы. Ф. М. Достоевский,http://www.labirint.ru/books/247131,,68,Достоевский Федор Михайлович,Феникс
,http://img1.labirint.ru/books/247131/big.jpg,Золотые цитаты классиков литературы. Ф. М. Достоевский,http://www.labirint.ru/books/247131,,68,Достоевский Федор Михайлович,Феникс
,http://img1.labirint.ru/books/279094/big.jpg,Ф.М. Достоевский. Малое собрание сочинений,http://www.labirint.ru/books/279094,,261,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/425134/big.jpg,Ломоносов - соперник Шекспира?,http://www.labirint.ru/books/425134,,239,Гранцева Наталья Анатольевна,Журнал Нева
,http://img1.labirint.ru/books/473964/big.jpg,Шекспир курит в сторонке,http://www.labirint.ru/books/473964,,76,Донцова Дарья Аркадьевна,Эксмо-Пресс
,http://img1.labirint.ru/books/473964/big.jpg,Шекспир курит в сторонке,http://www.labirint.ru/books/473964,,76,Донцова Дарья Аркадьевна,Эксмо-Пресс
,http://img1.labirint.ru/books/486314/big.jpg,Шекспир должен умереть,http://www.labirint.ru/books/486314,,85,Леман Валерия,Эксмо-Пресс
,http://img1.labirint.ru/books/145604/big.jpg,"Шекспир, или Укрощение строптивого",http://www.labirint.ru/books/145604,,240,Сергеев Анатолий Анатольевич,Белый город
,http://img1.labirint.ru/books/486314/big.jpg,Шекспир должен умереть,http://www.labirint.ru/books/486314,,85,Леман Валерия,Эксмо-Пресс
,http://img1.labirint.ru/books/145604/big.jpg,"Шекспир, или Укрощение строптивого",http://www.labirint.ru/books/145604,,240,Сергеев Анатолий Анатольевич,Белый город
,http://img1.labirint.ru/books/208294/big.jpg,Булгаков. Энциклопедия Шекспир: Энциклопедия,http://www.labirint.ru/books/208294,,"341,344",Соколов Борис Вадимович Николаев Вадим Данилович,Алгоритм
,http://img1.labirint.ru/books/163543/big.jpg,Тайное станет явным. Шекспир без маски,http://www.labirint.ru/books/163543,,355,Джеймс Бренда,Весь мир
,http://img1.labirint.ru/books/163543/big.jpg,Тайное станет явным. Шекспир без маски,http://www.labirint.ru/books/163543,,355,Джеймс Бренда,Весь мир
,http://img1.labirint.ru/books/290385/big.jpg,"Портрет Шекспира, или Личное дело Френсиса Бэкона",http://www.labirint.ru/books/290385,,401,Герман Валентин Станиславович,Арт-Хаус Медиа
,http://img1.labirint.ru/books/358801/big.jpg,Шекспир,http://www.labirint.ru/books/358801,,199,Балашова Виктория Викторовна,Вече
,http://img1.labirint.ru/books/358801/big.jpg,Шекспир,http://www.labirint.ru/books/358801,,199,Балашова Виктория Викторовна,Вече
,http://img1.labirint.ru/books/272732/big.jpg,О чем на самом деле писал Шекспир,http://www.labirint.ru/books/272732,,519,Носовский Глеб Владимирович,АСТ
,http://img1.labirint.ru/books/430257/big.jpg,Влюбленный Шекспир,http://www.labirint.ru/books/430257,,270,Берджесс Энтони,АСТ
,http://img1.labirint.ru/books/272732/big.jpg,О чем на самом деле писал Шекспир,http://www.labirint.ru/books/272732,,519,Носовский Глеб Владимирович,АСТ
,http://img1.labirint.ru/books/457570/big.jpg,Шекспировский Лондон за пять гроутов день,http://www.labirint.ru/books/457570,,285,Теймз Ричард,Вече
,http://img1.labirint.ru/books/457570/big.jpg,Шекспировский Лондон за пять гроутов день,http://www.labirint.ru/books/457570,,285,Теймз Ричард,Вече
,http://img1.labirint.ru/books/430257/big.jpg,Влюбленный Шекспир,http://www.labirint.ru/books/430257,,270,Берджесс Энтони,АСТ
,http://img1.labirint.ru/books/391917/big.jpg,Шекспир,http://www.labirint.ru/books/391917,,489,Шайтанов Игорь Олегович,Молодая гвардия
,http://img1.labirint.ru/books/372273/big.jpg,"Игра об Уильяме Шекспире, или Тайна Великого Феникса Шекспир",http://www.labirint.ru/books/372273,,"1 053,489",Гилилов Илья Менделевич Шайтанов Игорь Олегович,Международные отношения
,http://img1.labirint.ru/books/465767/big.jpg,Шекспир. Весь мир - театр,http://www.labirint.ru/books/465767,,423,Брайсон Билл,Центр книги Рудомино
,http://img1.labirint.ru/books/346156/big.jpg,Жизнь и время Уильяма Шекспира Шекспир. Весь мир - театр,http://www.labirint.ru/books/346156,,"750,423",МакДермотт Кристен Брайсон Билл,Рипол-Классик
,http://img1.labirint.ru/books/211972/big.jpg,Шекспир. Биография,http://www.labirint.ru/books/211972,,345,Акройд Питер,КоЛибри
,http://img1.labirint.ru/books/35190/big.jpg,Таро Шекспира (колода карт + книга в футляре),http://www.labirint.ru/books/35190,,369,Склярова Вера Анатольевна,Урал ЛТД
